Path,Label,Name
data\cleanedData\happy\Training_72816635.jpg,happy,Training_72816635.jpg
data\augmentation\no1_1_bri0_88_rot-13_Training_72816635_jpg.jpg,happy,no1_1_bri0_88_rot-13_Training_72816635_jpg.jpg
data\augmentation\bri1_0_no0_84_sha1_44_flip0_Training_72816635_jpg.jpg,happy,bri1_0_no0_84_sha1_44_flip0_Training_72816635_jpg.jpg
data\cleanedData\happy\Training_50478248.jpg,happy,Training_50478248.jpg
data\augmentation\con1_44_bri1_18_sha1_4_rot-15_col0_63_flip0_Training_50478248_jpg.jpg,happy,con1_44_bri1_18_sha1_4_rot-15_col0_63_flip0_Training_50478248_jpg.jpg
data\augmentation\col0_82_con0_86_no1_34_bri0_96_rot-29_sha1_27_flip0_Training_50478248_jpg.jpg,happy,col0_82_con0_86_no1_34_bri0_96_rot-29_sha1_27_flip0_Training_50478248_jpg.jpg
data\cleanedData\happy\Training_16449507.jpg,happy,Training_16449507.jpg
data\augmentation\bri1_17_rot-12_col0_92_sha1_43_no0_69_con0_61_Training_16449507_jpg.jpg,happy,bri1_17_rot-12_col0_92_sha1_43_no0_69_con0_61_Training_16449507_jpg.jpg
data\augmentation\sha0_9_rot-23_no1_36_Training_16449507_jpg.jpg,happy,sha0_9_rot-23_no1_36_Training_16449507_jpg.jpg
data\cleanedData\happy\Training_11563477.jpg,happy,Training_11563477.jpg
data\augmentation\bri0_96_col1_12_Training_11563477_jpg.jpg,happy,bri0_96_col1_12_Training_11563477_jpg.jpg
data\augmentation\rot-14_flip0_con1_41_sha0_73_col1_49_bri1_1_no1_49_Training_11563477_jpg.jpg,happy,rot-14_flip0_con1_41_sha0_73_col1_49_bri1_1_no1_49_Training_11563477_jpg.jpg
data\cleanedData\happy\PublicTest_37503906.jpg,happy,PublicTest_37503906.jpg
data\augmentation\bri1_26_PublicTest_37503906_jpg.jpg,happy,bri1_26_PublicTest_37503906_jpg.jpg
data\augmentation\no0_93_bri0_59_col1_44_PublicTest_37503906_jpg.jpg,happy,no0_93_bri0_59_col1_44_PublicTest_37503906_jpg.jpg
data\cleanedData\happy\Training_56095982.jpg,happy,Training_56095982.jpg
data\augmentation\bri1_27_con1_21_col1_22_Training_56095982_jpg.jpg,happy,bri1_27_con1_21_col1_22_Training_56095982_jpg.jpg
data\augmentation\con0_7_sha0_8_flip0_no0_61_rot-7_bri1_47_Training_56095982_jpg.jpg,happy,con0_7_sha0_8_flip0_no0_61_rot-7_bri1_47_Training_56095982_jpg.jpg
data\cleanedData\happy\PrivateTest_27554547.jpg,happy,PrivateTest_27554547.jpg
data\augmentation\con0_57_col0_87_flip0_no1_09_bri0_5_sha1_16_PrivateTest_27554547_jpg.jpg,happy,con0_57_col0_87_flip0_no1_09_bri0_5_sha1_16_PrivateTest_27554547_jpg.jpg
data\augmentation\col1_44_PrivateTest_27554547_jpg.jpg,happy,col1_44_PrivateTest_27554547_jpg.jpg
data\cleanedData\happy\PrivateTest_3447769.jpg,happy,PrivateTest_3447769.jpg
data\augmentation\bri1_15_con1_05_rot-9_sha1_11_col1_02_flip0_PrivateTest_3447769_jpg.jpg,happy,bri1_15_con1_05_rot-9_sha1_11_col1_02_flip0_PrivateTest_3447769_jpg.jpg
data\augmentation\col1_38_rot-9_sha1_35_con0_72_flip0_no1_37_bri1_27_PrivateTest_3447769_jpg.jpg,happy,col1_38_rot-9_sha1_35_con0_72_flip0_no1_37_bri1_27_PrivateTest_3447769_jpg.jpg
data\cleanedData\happy\Training_44673152.jpg,happy,Training_44673152.jpg
data\augmentation\no1_5_col0_97_rot22_sha0_82_flip0_bri1_39_con0_6_Training_44673152_jpg.jpg,happy,no1_5_col0_97_rot22_sha0_82_flip0_bri1_39_con0_6_Training_44673152_jpg.jpg
data\augmentation\sha1_43_bri0_72_flip0_no1_39_Training_44673152_jpg.jpg,happy,sha1_43_bri0_72_flip0_no1_39_Training_44673152_jpg.jpg
data\cleanedData\happy\Training_7098848.jpg,happy,Training_7098848.jpg
data\augmentation\no0_81_sha0_96_Training_7098848_jpg.jpg,happy,no0_81_sha0_96_Training_7098848_jpg.jpg
data\augmentation\con0_78_sha0_75_flip0_bri0_74_rot-21_no1_13_Training_7098848_jpg.jpg,happy,con0_78_sha0_75_flip0_bri0_74_rot-21_no1_13_Training_7098848_jpg.jpg
data\cleanedData\happy\Training_44314963.jpg,happy,Training_44314963.jpg
data\augmentation\sha1_2_col1_27_bri1_48_con0_88_rot-21_Training_44314963_jpg.jpg,happy,sha1_2_col1_27_bri1_48_con0_88_rot-21_Training_44314963_jpg.jpg
data\augmentation\con1_36_sha1_05_Training_44314963_jpg.jpg,happy,con1_36_sha1_05_Training_44314963_jpg.jpg
data\cleanedData\happy\Training_38548218.jpg,happy,Training_38548218.jpg
data\augmentation\con0_94_flip0_bri1_42_col1_12_Training_38548218_jpg.jpg,happy,con0_94_flip0_bri1_42_col1_12_Training_38548218_jpg.jpg
data\augmentation\sha0_63_Training_38548218_jpg.jpg,happy,sha0_63_Training_38548218_jpg.jpg
data\cleanedData\happy\Training_42154199.jpg,happy,Training_42154199.jpg
data\augmentation\con0_69_col0_97_no0_86_sha1_45_flip0_bri0_53_Training_42154199_jpg.jpg,happy,con0_69_col0_97_no0_86_sha1_45_flip0_bri0_53_Training_42154199_jpg.jpg
