Path,CompositeName,Label,Image Name,Source
data\dataSources\fer2013\happy\Training_75187615.jpg,Training_75187615_happy_FER2013,happy,Training_75187615.jpg,FER2013
data\dataSources\fer2013\happy\Training_75216898.jpg,Training_75216898_happy_FER2013,happy,Training_75216898.jpg,FER2013
data\dataSources\fer2013\happy\Training_79162237.jpg,Training_79162237_happy_FER2013,happy,Training_79162237.jpg,FER2013
data\dataSources\fer2013\happy\Training_87055466.jpg,Training_87055466_happy_FER2013,happy,Training_87055466.jpg,FER2013
data\dataSources\fer2013\happy\Training_77345859.jpg,Training_77345859_happy_FER2013,happy,Training_77345859.jpg,FER2013
data\dataSources\fer2013\happy\Training_55828547.jpg,Training_55828547_happy_FER2013,happy,Training_55828547.jpg,FER2013
data\dataSources\fer2013\happy\Training_41073930.jpg,Training_41073930_happy_FER2013,happy,Training_41073930.jpg,FER2013
data\dataSources\fer2013\happy\Training_21466445.jpg,Training_21466445_happy_FER2013,happy,Training_21466445.jpg,FER2013
data\dataSources\fer2013\happy\Training_68470826.jpg,Training_68470826_happy_FER2013,happy,Training_68470826.jpg,FER2013
data\dataSources\fer2013\happy\Training_57784580.jpg,Training_57784580_happy_FER2013,happy,Training_57784580.jpg,FER2013
data\dataSources\fer2013\happy\PublicTest_81973751.jpg,PublicTest_81973751_happy_FER2013,happy,PublicTest_81973751.jpg,FER2013
data\dataSources\fer2013\happy\Training_66947849.jpg,Training_66947849_happy_FER2013,happy,Training_66947849.jpg,FER2013
data\dataSources\fer2013\happy\PublicTest_85766163.jpg,PublicTest_85766163_happy_FER2013,happy,PublicTest_85766163.jpg,FER2013
data\dataSources\fer2013\happy\Training_11531343.jpg,Training_11531343_happy_FER2013,happy,Training_11531343.jpg,FER2013
data\dataSources\fer2013\happy\Training_63740958.jpg,Training_63740958_happy_FER2013,happy,Training_63740958.jpg,FER2013
data\dataSources\fer2013\happy\PublicTest_34920736.jpg,PublicTest_34920736_happy_FER2013,happy,PublicTest_34920736.jpg,FER2013
data\dataSources\fer2013\happy\Training_38923403.jpg,Training_38923403_happy_FER2013,happy,Training_38923403.jpg,FER2013
data\dataSources\fer2013\happy\Training_38419695.jpg,Training_38419695_happy_FER2013,happy,Training_38419695.jpg,FER2013
data\dataSources\fer2013\happy\Training_43210198.jpg,Training_43210198_happy_FER2013,happy,Training_43210198.jpg,FER2013
data\dataSources\fer2013\happy\Training_66528800.jpg,Training_66528800_happy_FER2013,happy,Training_66528800.jpg,FER2013
data\dataSources\fer2013\happy\Training_98691765.jpg,Training_98691765_happy_FER2013,happy,Training_98691765.jpg,FER2013
data\dataSources\fer2013\happy\Training_88776166.jpg,Training_88776166_happy_FER2013,happy,Training_88776166.jpg,FER2013
data\dataSources\fer2013\happy\Training_68630514.jpg,Training_68630514_happy_FER2013,happy,Training_68630514.jpg,FER2013
data\dataSources\fer2013\happy\Training_92813630.jpg,Training_92813630_happy_FER2013,happy,Training_92813630.jpg,FER2013
data\dataSources\fer2013\happy\PrivateTest_28785248.jpg,PrivateTest_28785248_happy_FER2013,happy,PrivateTest_28785248.jpg,FER2013
data\dataSources\fer2013\happy\Training_6608345.jpg,Training_6608345_happy_FER2013,happy,Training_6608345.jpg,FER2013
data\dataSources\fer2013\happy\Training_36575080.jpg,Training_36575080_happy_FER2013,happy,Training_36575080.jpg,FER2013
data\dataSources\fer2013\happy\Training_42437925.jpg,Training_42437925_happy_FER2013,happy,Training_42437925.jpg,FER2013
