file_path,label
Dataset\train\angry\Training_10118481.jpg,angry
Dataset\train\angry\Training_10120469.jpg,angry
Dataset\train\angry\Training_10131352.jpg,angry
Dataset\train\angry\Training_10161559.jpg,angry
Dataset\train\angry\Training_1021836.jpg,angry
Dataset\train\angry\Training_10269675.jpg,angry
Dataset\train\angry\Training_10278738.jpg,angry
Dataset\train\angry\Training_10290703.jpg,angry
Dataset\train\angry\Training_10295477.jpg,angry
Dataset\train\angry\Training_10315441.jpg,angry
Dataset\train\angry\Training_10316849.jpg,angry
Dataset\train\angry\Training_10333072.jpg,angry
Dataset\train\angry\Training_10334355.jpg,angry
Dataset\train\angry\Training_10345473.jpg,angry
Dataset\train\angry\Training_10422050.jpg,angry
Dataset\train\angry\Training_10485618.jpg,angry
Dataset\train\angry\Training_10503476.jpg,angry
Dataset\train\angry\Training_10524198.jpg,angry
Dataset\train\angry\Training_10539399.jpg,angry
Dataset\train\angry\Training_10592361.jpg,angry
Dataset\train\angry\Training_10595751.jpg,angry
Dataset\train\angry\Training_10608067.jpg,angry
Dataset\train\angry\Training_10740356.jpg,angry
Dataset\train\angry\Training_10851653.jpg,angry
Dataset\train\angry\Training_10857340.jpg,angry
Dataset\train\angry\Training_10882484.jpg,angry
Dataset\train\angry\Training_10899258.jpg,angry
Dataset\train\angry\Training_10922970.jpg,angry
Dataset\train\angry\Training_10967257.jpg,angry
Dataset\train\angry\Training_11023881.jpg,angry
Dataset\train\angry\Training_11036720.jpg,angry
Dataset\train\angry\Training_11102431.jpg,angry
Dataset\train\angry\Training_11175213.jpg,angry
Dataset\train\angry\Training_11185740.jpg,angry
Dataset\train\angry\Training_1119091.jpg,angry
Dataset\train\angry\Training_11206889.jpg,angry
Dataset\train\angry\Training_1120923.jpg,angry
Dataset\train\angry\Training_11247006.jpg,angry
Dataset\train\angry\Training_11262281.jpg,angry
Dataset\train\angry\Training_11275727.jpg,angry
Dataset\train\angry\Training_1127865.jpg,angry
Dataset\train\angry\Training_11292723.jpg,angry
Dataset\train\angry\Training_11306820.jpg,angry
Dataset\train\angry\Training_11319077.jpg,angry
Dataset\train\angry\Training_11330391.jpg,angry
Dataset\train\angry\Training_1133567.jpg,angry
Dataset\train\angry\Training_11350676.jpg,angry
Dataset\train\angry\Training_11359731.jpg,angry
Dataset\train\angry\Training_11393282.jpg,angry
Dataset\train\angry\Training_11478843.jpg,angry
Dataset\train\angry\Training_11533347.jpg,angry
Dataset\train\angry\Training_11566408.jpg,angry
Dataset\train\angry\Training_11571868.jpg,angry
Dataset\train\angry\Training_11576563.jpg,angry
Dataset\train\angry\Training_11579481.jpg,angry
Dataset\train\angry\Training_11596465.jpg,angry
Dataset\train\angry\Training_11666027.jpg,angry
Dataset\train\angry\Training_11666709.jpg,angry
Dataset\train\angry\Training_11713762.jpg,angry
Dataset\train\angry\Training_1173634.jpg,angry
Dataset\train\angry\Training_11745938.jpg,angry
Dataset\train\angry\Training_11749309.jpg,angry
Dataset\train\angry\Training_11769417.jpg,angry
Dataset\train\angry\Training_11769870.jpg,angry
Dataset\train\angry\Training_11770015.jpg,angry
Dataset\train\angry\Training_11808005.jpg,angry
Dataset\train\angry\Training_11820572.jpg,angry
Dataset\train\angry\Training_1184435.jpg,angry
Dataset\train\angry\Training_11860503.jpg,angry
Dataset\train\angry\Training_11888118.jpg,angry
Dataset\train\angry\Training_11917747.jpg,angry
Dataset\train\angry\Training_1193977.jpg,angry
Dataset\train\angry\Training_11940623.jpg,angry
Dataset\train\angry\Training_11947615.jpg,angry
Dataset\train\angry\Training_11954904.jpg,angry
Dataset\train\angry\Training_11983206.jpg,angry
Dataset\train\angry\Training_11990539.jpg,angry
Dataset\train\angry\Training_12006812.jpg,angry
Dataset\train\angry\Training_12017013.jpg,angry
Dataset\train\angry\Training_12037449.jpg,angry
Dataset\train\angry\Training_12045034.jpg,angry
Dataset\train\angry\Training_12075336.jpg,angry
Dataset\train\angry\Training_12091917.jpg,angry
Dataset\train\angry\Training_12095508.jpg,angry
Dataset\train\angry\Training_12095988.jpg,angry
Dataset\train\angry\Training_12148960.jpg,angry
Dataset\train\angry\Training_12155031.jpg,angry
Dataset\train\angry\Training_12168970.jpg,angry
Dataset\train\angry\Training_12172696.jpg,angry
Dataset\train\angry\Training_12175445.jpg,angry
Dataset\train\angry\Training_12216843.jpg,angry
