Image Path,Correct Label,Predicted Label
image_0,0,happy
image_1,0,angry
image_2,0,happy
image_3,0,happy
image_4,0,happy
image_5,0,happy
image_6,0,happy
image_7,0,happy
image_8,0,happy
image_9,0,neutral
image_10,0,happy
image_11,0,happy
image_12,0,happy
image_13,0,angry
image_14,0,neutral
image_15,0,happy
image_16,0,angry
image_17,0,happy
image_18,0,engaged
image_19,0,happy
image_20,0,happy
image_21,0,engaged
image_22,0,happy
image_23,0,happy
image_24,0,happy
image_25,0,happy
image_26,0,happy
image_27,0,happy
image_28,0,happy
image_29,0,neutral
image_30,0,happy
image_31,0,happy
image_32,0,happy
image_33,0,angry
image_34,0,angry
image_35,0,happy
image_36,0,happy
image_37,0,happy
image_38,0,neutral
image_39,0,happy
image_40,0,happy
image_41,0,engaged
image_42,0,happy
image_43,0,happy
image_44,0,neutral
image_45,0,happy
image_46,0,angry
image_47,0,engaged
image_48,0,happy
image_49,0,happy
image_50,0,happy
image_51,0,happy
image_52,0,happy
image_53,0,neutral
image_54,0,happy
image_55,0,happy
image_56,0,happy
image_57,0,engaged
image_58,0,happy
image_59,0,happy
image_60,0,happy
image_61,0,happy
image_62,0,engaged
image_63,0,happy
image_64,0,happy
image_65,0,happy
image_66,0,angry
image_67,0,happy
image_68,0,neutral
image_69,0,happy
image_70,0,happy
image_71,0,neutral
image_72,0,happy
image_73,0,happy
image_74,0,angry
image_75,1,happy
image_76,1,angry
image_77,1,neutral
image_78,1,angry
image_79,1,angry
image_80,1,angry
image_81,1,happy
image_82,1,happy
image_83,1,engaged
image_84,1,neutral
image_85,1,neutral
image_86,1,angry
image_87,1,happy
image_88,1,angry
image_89,1,angry
image_90,1,angry
image_91,1,neutral
image_92,1,angry
image_93,1,angry
image_94,1,happy
image_95,1,happy
image_96,1,neutral
image_97,1,angry
image_98,1,neutral
image_99,1,angry
image_100,1,happy
image_101,1,happy
image_102,1,neutral
image_103,1,angry
image_104,1,happy
image_105,1,angry
image_106,1,neutral
image_107,1,engaged
image_108,1,angry
image_109,1,angry
image_110,1,happy
image_111,1,happy
image_112,1,neutral
image_113,1,angry
image_114,1,happy
image_115,1,neutral
image_116,1,happy
image_117,1,neutral
image_118,1,happy
image_119,1,angry
image_120,1,happy
image_121,1,angry
image_122,1,engaged
image_123,1,angry
image_124,1,happy
image_125,1,angry
image_126,1,happy
image_127,1,neutral
image_128,1,happy
image_129,1,angry
image_130,1,engaged
image_131,1,neutral
image_132,1,angry
image_133,1,neutral
image_134,1,neutral
image_135,1,happy
image_136,1,angry
image_137,1,angry
image_138,1,angry
image_139,1,angry
image_140,1,angry
image_141,1,angry
image_142,1,happy
image_143,1,angry
image_144,1,happy
image_145,1,angry
image_146,1,happy
image_147,1,neutral
image_148,1,happy
image_149,1,engaged
image_150,2,engaged
image_151,2,angry
image_152,2,happy
image_153,2,happy
image_154,2,neutral
image_155,2,engaged
image_156,2,angry
image_157,2,angry
image_158,2,neutral
image_159,2,happy
image_160,2,angry
image_161,2,angry
image_162,2,happy
image_163,2,happy
image_164,2,neutral
image_165,2,neutral
image_166,2,happy
image_167,2,happy
image_168,2,angry
image_169,2,neutral
image_170,2,angry
image_171,2,neutral
image_172,2,angry
image_173,2,neutral
image_174,2,neutral
image_175,2,neutral
image_176,2,happy
image_177,2,angry
image_178,2,neutral
image_179,2,angry
image_180,2,happy
image_181,2,happy
image_182,2,neutral
image_183,2,happy
image_184,2,angry
image_185,2,neutral
image_186,2,angry
image_187,2,engaged
image_188,2,neutral
image_189,2,neutral
image_190,2,happy
image_191,2,neutral
image_192,2,neutral
image_193,2,angry
image_194,2,neutral
image_195,2,engaged
image_196,2,neutral
image_197,2,neutral
image_198,2,angry
image_199,2,angry
image_200,2,happy
image_201,2,neutral
image_202,2,happy
image_203,2,neutral
image_204,2,neutral
image_205,2,angry
image_206,2,neutral
image_207,2,engaged
image_208,2,neutral
image_209,2,angry
image_210,2,happy
image_211,2,neutral
image_212,2,neutral
image_213,2,neutral
image_214,2,engaged
image_215,2,angry
image_216,2,angry
image_217,2,angry
image_218,2,engaged
image_219,2,neutral
image_220,2,happy
image_221,2,angry
image_222,2,engaged
image_223,2,neutral
image_224,2,angry
image_225,3,engaged
image_226,3,engaged
image_227,3,engaged
image_228,3,engaged
image_229,3,engaged
image_230,3,engaged
image_231,3,engaged
image_232,3,engaged
image_233,3,engaged
image_234,3,engaged
image_235,3,engaged
image_236,3,engaged
image_237,3,engaged
image_238,3,engaged
image_239,3,engaged
image_240,3,engaged
image_241,3,engaged
image_242,3,engaged
image_243,3,engaged
image_244,3,engaged
image_245,3,engaged
image_246,3,engaged
image_247,3,engaged
image_248,3,engaged
image_249,3,engaged
image_250,3,engaged
image_251,3,engaged
image_252,3,engaged
image_253,3,engaged
image_254,3,engaged
image_255,3,engaged
image_256,3,engaged
image_257,3,engaged
image_258,3,engaged
image_259,3,engaged
image_260,3,engaged
image_261,3,engaged
image_262,3,engaged
image_263,3,engaged
image_264,3,engaged
image_265,3,engaged
image_266,3,engaged
image_267,3,engaged
image_268,3,engaged
image_269,3,engaged
image_270,3,engaged
image_271,3,engaged
image_272,3,engaged
image_273,3,engaged
image_274,3,engaged
image_275,3,engaged
image_276,3,engaged
image_277,3,engaged
image_278,3,engaged
image_279,3,engaged
image_280,3,engaged
image_281,3,engaged
image_282,3,engaged
image_283,3,engaged
image_284,3,engaged
image_285,3,engaged
image_286,3,engaged
image_287,3,engaged
image_288,3,engaged
image_289,3,engaged
image_290,3,engaged
image_291,3,engaged
image_292,3,engaged
image_293,3,engaged
image_294,3,engaged
image_295,3,engaged
image_296,3,engaged
image_297,3,engaged
image_298,3,engaged
image_299,3,engaged
