Fold,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro)
1,0.715,0.725547697084699,0.7171069182389936,0.7079997947454844,0.715,0.715,0.715
2,0.68,0.6911570390868211,0.678395225464191,0.6782951132951134,0.68,0.68,0.68
3,0.73,0.726169419450265,0.7280222437137331,0.7241743199682963,0.73,0.73,0.7299999999999999
4,0.635,0.6589514652014652,0.6683980664857531,0.6414740344595222,0.635,0.635,0.635
5,0.69,0.7011174172511382,0.7002242322894496,0.6907976618791288,0.69,0.69,0.69
6,0.655,0.676789696758305,0.6646540317969283,0.6602584663012425,0.655,0.655,0.655
7,0.685,0.7009879522324325,0.6831638068051111,0.6793335905485438,0.685,0.685,0.685
8,0.705,0.7146204370342302,0.7030309112806102,0.6977986395121227,0.705,0.705,0.705
9,0.78,0.780096007372486,0.7708333333333334,0.7741137924815231,0.78,0.78,0.78
10,0.71,0.715796568627451,0.7041666666666666,0.7032110924483805,0.71,0.71,0.7100000000000001
Average,0.6985,0.7091233700099293,0.7017995436074769,0.6957456505639357,0.6985,0.6985,0.6985
